[EVENT_TIMING] 9472 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  263 UNKNOWN                  30       0.33       0.03       1.37       0.32
  264 UNKNOWN                  30       0.28       0.01       1.11       0.27
  265 UNKNOWN                  30       0.42       0.02       2.04       0.47
  266 UNKNOWN                  30       6.20       0.01      88.81      21.82
  267 UNKNOWN                  26       0.24       0.03       1.00       0.25
  268 UNKNOWN                  29       0.15       0.01       0.83       0.16
  269 UNKNOWN                  28       0.21       0.02       0.74       0.19
  270 UNKNOWN                  26       0.27       0.01       0.97       0.24
  271 UNKNOWN                  29       0.36       0.01       2.40       0.53
  272 UNKNOWN                  28       0.36       0.01       2.00       0.47
  273 UNKNOWN                  29       0.29       0.02       1.78       0.34
  274 UNKNOWN                  30      15.33       0.05      90.88      32.86
  275 UNKNOWN                  29      12.43       0.02      89.55      30.27
  276 UNKNOWN                  31       3.04       0.02      84.18      14.82
  277 UNKNOWN                  29       0.29       0.01       2.13       0.40
  278 UNKNOWN                  26       0.20       0.01       1.35       0.27
  279 UNKNOWN                  29       3.30       0.02      88.47      16.10
  280 UNKNOWN                  29       0.37       0.01       1.44       0.37
  281 UNKNOWN                  30       0.44       0.02       2.32       0.54
  282 UNKNOWN                  29       1.73       0.01      39.02       7.06
  283 UNKNOWN                  29       4.36       0.01      39.00      11.52
  284 UNKNOWN                  28       0.61       0.03       1.81       0.49
  285 UNKNOWN                  31       0.84       0.02       2.60       0.80
  286 UNKNOWN                  30      21.94       0.05      41.76      18.88
  287 UNKNOWN                  29       4.57       0.01      40.17      11.76
  288 UNKNOWN                  28       1.73       0.02      39.03       7.18
  289 UNKNOWN                  30       0.49       0.02       1.85       0.37
  290 UNKNOWN                  28       1.66       0.02      38.09       7.02
  291 UNKNOWN                  30       2.90       0.04      39.84       9.31
  292 UNKNOWN                  27       2.00       0.04      38.87       7.25
  293 UNKNOWN                  30       0.43       0.07       2.20       0.45
  294 UNKNOWN                  31       2.81       0.01      39.55       9.35
  295 UNKNOWN                  31       6.10       5.63       6.45       0.23
  296 UNKNOWN                  31       4.89       4.71       5.08       0.09

================================================================================
PER-TYPE SUMMARY (sum of avg durations across all events)
================================================================================
TaskType             Events    Total(us)  Total(ms)        %
----------------------------------------------------------
UNKNOWN                 296       8923.7      8.924   100.0%
TOTAL                             8923.7      8.924

Saved raw event timing to event_timing.json
