[EVENT_TIMING] 10336 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  239 UNKNOWN                  31       4.22       3.07       6.23       1.14
  240 UNKNOWN                  31       4.40       3.52       4.94       0.47
  241 UNKNOWN                  31      14.14      13.27      18.00       0.87
  242 UNKNOWN                  31     210.90     207.12     216.20       2.29
  243 UNKNOWN                  31      51.78      51.29      52.05       0.19
  244 UNKNOWN                  31      35.50      35.13      35.89       0.22
  245 UNKNOWN                  31      13.70      13.36      15.31       0.36
  246 UNKNOWN                  31       4.02       3.63       6.39       0.59
  247 UNKNOWN                  31      25.10      23.40      26.52       1.00
  248 UNKNOWN                  31      41.13      39.16      46.88       1.68
  249 UNKNOWN                  31       5.77       3.64      10.68       1.42
  250 UNKNOWN                  31      22.70      20.95      25.44       1.13
  251 UNKNOWN                  31       4.30       3.56       7.69       0.81
  252 UNKNOWN                  31       5.00       3.95       5.48       0.55
  253 UNKNOWN                  31      13.78      12.69      15.00       0.61
  254 UNKNOWN                  31     210.89     208.09     214.05       1.61
  255 UNKNOWN                  31      51.83      51.54      52.14       0.15
  256 UNKNOWN                  31      35.37      34.69      36.00       0.32
  257 UNKNOWN                  31      13.87      13.47      16.45       0.52
  258 UNKNOWN                  31       3.60       3.44       3.76       0.08
  259 UNKNOWN                  31      24.65      23.65      27.25       0.83
  260 UNKNOWN                  31      42.77      39.91      44.35       0.98
  261 UNKNOWN                  31       5.12       3.75       6.37       1.02
  262 UNKNOWN                  31      22.90      21.23      24.71       1.04
  263 UNKNOWN                  31       3.78       3.41       4.09       0.18
  264 UNKNOWN                  31       3.88       3.53       4.30       0.19
  265 UNKNOWN                  31      14.57      13.99      15.04       0.30
  266 UNKNOWN                  31     210.32     207.72     213.29       1.57
  267 UNKNOWN                  31      51.77      51.45      52.09       0.17
  268 UNKNOWN                  31      35.33      34.93      35.81       0.23
  269 UNKNOWN                  31      14.92      13.48      17.60       1.49
  270 UNKNOWN                  31       3.85       3.71       4.07       0.08
  271 UNKNOWN                  31      25.78      24.24      26.48       0.62
  272 UNKNOWN                  31      39.79      38.48      41.29       0.61
  273 UNKNOWN                  31       5.05       3.71      10.64       1.48
