[EVENT_TIMING] 9472 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  223 UNKNOWN                  31      16.57      15.21      17.82       0.92
  224 UNKNOWN                  31      41.43      39.28      43.66       1.17
  225 UNKNOWN                  31      25.13      21.88      28.37       1.97
  226 UNKNOWN                  31       4.68       4.23       6.76       0.45
  227 UNKNOWN                  31      18.15      14.52      21.49       1.71
  228 UNKNOWN                  31       9.66       9.28      10.05       0.16
  229 UNKNOWN                  31      12.16      11.59      12.71       0.33
  230 UNKNOWN                  31      15.25      14.37      15.69       0.30
  231 UNKNOWN                  31       7.85       7.36       8.52       0.26
  232 UNKNOWN                  31      15.87      14.67      17.48       0.89
  233 UNKNOWN                  31      41.86      38.73      43.83       1.36
  234 UNKNOWN                  31      25.19      22.83      28.60       1.62
  235 UNKNOWN                  31       5.04       4.39       6.80       0.50
  236 UNKNOWN                  31      17.73      15.04      21.61       1.48
  237 UNKNOWN                  31       9.48       9.29       9.73       0.10
  238 UNKNOWN                  31      12.17      11.63      13.15       0.35
  239 UNKNOWN                  31      15.15      14.71      15.48       0.21
  240 UNKNOWN                  31       7.86       7.41       8.28       0.24
  241 UNKNOWN                  31      16.57      15.02      17.83       0.92
  242 UNKNOWN                  31      41.49      38.78      44.48       1.38
  243 UNKNOWN                  31      25.35      21.83      29.49       1.81
  244 UNKNOWN                  31       5.13       4.25       6.88       0.92
  245 UNKNOWN                  30       5.23       0.04      72.69      17.58
  246 UNKNOWN                  29       0.41       0.01       1.80       0.41
  247 UNKNOWN                  30       0.65       0.02       3.93       0.76
  248 UNKNOWN                  28      10.12       0.09      68.80      23.40
  249 UNKNOWN                  30       2.94       0.01      71.04      12.66
  250 UNKNOWN                  29       5.12       0.02      67.79      16.84
  251 UNKNOWN                  28      12.79       0.01      70.71      25.99
  252 UNKNOWN                  30       3.02       0.01      68.96      12.26
  253 UNKNOWN                  29       5.51       0.01      71.59      17.89
  254 UNKNOWN                  28       5.63       0.09      70.00      17.81
  255 UNKNOWN                  28      10.22       0.03      71.17      23.76
  256 UNKNOWN                  26       5.70       0.01      68.35      18.00
  257 UNKNOWN                  29       5.17       0.07      68.73      16.96
  258 UNKNOWN                  31       2.72       0.04      68.90      12.10
  259 UNKNOWN                  31       5.08       0.01      73.20      17.30
  260 UNKNOWN                  29       3.33       0.04      73.24      13.26
  261 UNKNOWN                  29       1.11       0.01       3.80       1.18
  262 UNKNOWN                  31       1.57       0.20       7.16       1.71
  263 UNKNOWN                  31       1.82       0.04       5.84       1.41
  264 UNKNOWN                  31       2.28       0.08       6.64       1.78
  265 UNKNOWN                  31       2.79       0.08       7.40       2.16
  266 UNKNOWN                  31       2.87       0.08       7.40       1.94
  267 UNKNOWN                  31       3.10       0.04       7.28       2.00
  268 UNKNOWN                  30       2.87       0.24       7.09       1.79
  269 UNKNOWN                  31       2.58       0.08       6.00       1.55
  270 UNKNOWN                  31       2.56       0.08       7.36       1.93
  271 UNKNOWN                  31       2.87       0.04       8.52       2.06
  272 UNKNOWN                  31       2.06       0.08       5.52       1.34
  273 UNKNOWN                  30       2.48       0.08       5.56       1.43
  274 UNKNOWN                  31       1.88       0.08       6.92       1.50
  275 UNKNOWN                  31       1.80       0.04       4.08       1.02
  276 UNKNOWN                  29       1.75       0.04       4.20       1.27
  277 UNKNOWN                  28       1.46       0.04       4.20       1.01
  278 UNKNOWN                  30       1.27       0.08       3.20       0.82
  279 UNKNOWN                  31       1.96       0.04       5.76       1.26
  280 UNKNOWN                  30       1.90       0.24       3.84       1.04
  281 UNKNOWN                  31       2.02       0.12       3.68       0.94
  282 UNKNOWN                  31       1.75       0.08       4.08       0.94
  283 UNKNOWN                  31       1.96       0.56       4.76       1.02
  284 UNKNOWN                  30       1.74       0.12       4.68       0.84
  285 UNKNOWN                  31       1.88       0.04       3.84       0.96
  286 UNKNOWN                  30       2.01       0.04       4.60       1.04
  287 UNKNOWN                  31       2.01       0.48       3.92       0.80
  288 UNKNOWN                  31       2.23       1.16       3.88       0.64
  289 UNKNOWN                  31       2.15       0.76       3.56       0.70
  290 UNKNOWN                  31       1.88       0.08       3.04       0.86
  291 UNKNOWN                  31       1.82       0.48       3.84       0.77
  292 UNKNOWN                  31       2.18       0.12       3.51       0.80
  293 UNKNOWN                  30       2.21       0.44       3.72       0.85
  294 UNKNOWN                  31       1.96       0.20       3.80       0.84
  295 UNKNOWN                  31       5.43       5.23       5.63       0.09
  296 UNKNOWN                  31       5.13       4.80       5.28       0.09

================================================================================
PER-TYPE SUMMARY (sum of avg durations across all events)
================================================================================
TaskType             Events    Total(us)  Total(ms)        %
----------------------------------------------------------
UNKNOWN                 296       4439.2      4.439   100.0%
TOTAL                             4439.2      4.439

Saved raw event timing to event_timing.json
