[EVENT_TIMING] 9472 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  224 UNKNOWN                  31      42.18      39.80      43.68       1.07
  225 UNKNOWN                  31      22.71      21.40      26.04       1.17
  226 UNKNOWN                  31       5.14       4.31       6.03       0.45
  227 UNKNOWN                  31      14.49      13.86      15.09       0.38
  228 UNKNOWN                  31      10.08       9.67      10.43       0.20
  229 UNKNOWN                  31      11.88      11.41      12.56       0.24
  230 UNKNOWN                  31      17.05      16.72      17.45       0.21
  231 UNKNOWN                  31      12.78      11.87      15.51       0.63
  232 UNKNOWN                  31      19.19      17.73      20.49       0.87
  233 UNKNOWN                  31      40.52      38.17      43.63       1.59
  234 UNKNOWN                  31      23.30      21.71      25.88       1.05
  235 UNKNOWN                  31       4.88       4.24       5.40       0.30
  236 UNKNOWN                  31      14.14      13.47      14.95       0.34
  237 UNKNOWN                  31      10.12       9.68      10.72       0.19
  238 UNKNOWN                  31      11.87      11.56      12.45       0.20
  239 UNKNOWN                  31      17.12      16.60      17.72       0.28
  240 UNKNOWN                  31      12.87      12.35      13.84       0.31
  241 UNKNOWN                  31      18.91      18.20      21.24       0.73
  242 UNKNOWN                  31      41.36      38.20      45.32       1.44
  243 UNKNOWN                  31      23.34      21.77      24.76       0.92
  244 UNKNOWN                  31       5.16       4.08       6.97       1.01
  245 UNKNOWN                  29       0.28       0.03       1.32       0.32
  246 UNKNOWN                  24       0.20       0.03       0.71       0.18
  247 UNKNOWN                  28       0.44       0.01       2.36       0.54
  248 UNKNOWN                  27       0.38       0.01       2.17       0.56
  249 UNKNOWN                  31       0.25       0.01       1.08       0.23
  250 UNKNOWN                  27       0.45       0.01       2.59       0.51
  251 UNKNOWN                  28       0.25       0.01       1.05       0.26
  252 UNKNOWN                  29       0.23       0.01       0.82       0.21
  253 UNKNOWN                  29       3.18       0.01      84.59      15.39
  254 UNKNOWN                  29       0.24       0.01       0.86       0.23
  255 UNKNOWN                  29       0.50       0.03       4.12       0.80
  256 UNKNOWN                  26       0.38       0.01       2.01       0.37
  257 UNKNOWN                  31       0.22       0.01       0.77       0.20
  258 UNKNOWN                  28       0.32       0.01       1.33       0.35
  259 UNKNOWN                  28       0.28       0.01       1.21       0.27
  260 UNKNOWN                  27       0.26       0.01       1.32       0.27
  261 UNKNOWN                  30       5.95       0.02      85.73      21.28
  262 UNKNOWN                  28       3.42       0.01      87.27      16.14
  263 UNKNOWN                  31       3.11       0.03      83.83      14.74
  264 UNKNOWN                  30       0.28       0.01       1.52       0.32
  265 UNKNOWN                  28       0.19       0.03       0.65       0.15
  266 UNKNOWN                  29       0.47       0.07       2.26       0.51
  267 UNKNOWN                  26       0.17       0.01       0.52       0.14
  268 UNKNOWN                  29       0.26       0.01       0.76       0.23
  269 UNKNOWN                  29       0.28       0.01       1.22       0.25
  270 UNKNOWN                  29       0.22       0.02       0.56       0.14
  271 UNKNOWN                  31       8.78       0.01      88.33      25.48
  272 UNKNOWN                  29       0.29       0.01       1.28       0.28
  273 UNKNOWN                  29       0.24       0.01       0.84       0.23
  274 UNKNOWN                  29       0.30       0.01       1.16       0.30
  275 UNKNOWN                  30       0.62       0.03       8.76       1.53
  276 UNKNOWN                  30       0.70       0.04       6.64       1.58
  277 UNKNOWN                  30      31.24       0.01      89.08      39.96
  278 UNKNOWN                  28      19.02       0.04      88.24      34.52
  279 UNKNOWN                  29      12.02       0.01      86.29      29.17
  280 UNKNOWN                  29       3.34       0.02      86.63      15.75
  281 UNKNOWN                  27       3.68       0.04      86.16      16.18
  282 UNKNOWN                  30       4.12       0.02      37.56      10.86
  283 UNKNOWN                  30       0.75       0.02       4.28       0.92
  284 UNKNOWN                  31       5.15       0.01      37.71      12.10
  285 UNKNOWN                  30       2.78       0.03      37.90       8.87
  286 UNKNOWN                  29       4.35       0.01      38.31      11.07
  287 UNKNOWN                  29       5.13       0.02      35.83      11.74
  288 UNKNOWN                  29       0.52       0.03       2.54       0.66
  289 UNKNOWN                  29       0.47       0.03       1.28       0.33
  290 UNKNOWN                  28       5.38       0.04      36.67      12.27
  291 UNKNOWN                  29       2.77       0.03      36.32       8.86
  292 UNKNOWN                  29       4.13       0.03      37.08      11.00
  293 UNKNOWN                  30       5.26       0.01      36.40      12.09
  294 UNKNOWN                  29       2.76       0.04      37.09       9.28
  295 UNKNOWN                  31       5.84       5.52       6.21       0.16
  296 UNKNOWN                  31       5.05       4.85       5.20       0.09

================================================================================
PER-TYPE SUMMARY (sum of avg durations across all events)
================================================================================
TaskType             Events    Total(us)  Total(ms)        %
----------------------------------------------------------
UNKNOWN                 296       4602.3      4.602   100.0%
TOTAL                             4602.3      4.602

Saved raw event timing to event_timing.json
