[EVENT_TIMING] 10368 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  268 UNKNOWN                  31      26.66      25.33      27.96       1.04
  269 UNKNOWN                  31      40.79      37.37      43.72       1.61
  270 UNKNOWN                  31      23.15      21.28      24.86       1.16
  271 UNKNOWN                  31       3.74       3.41       5.28       0.38
  272 UNKNOWN                  31       5.01       3.44       6.04       0.98
  273 UNKNOWN                  29       0.60       0.03       6.46       1.17
  274 UNKNOWN                  27       3.40       0.03      83.96      15.80
  275 UNKNOWN                  30       0.37       0.02       1.75       0.35
  276 UNKNOWN                  30       0.29       0.02       1.93       0.36
  277 UNKNOWN                  31      32.18       0.02      86.49      40.18
  278 UNKNOWN                  28       3.37       0.03      82.28      15.20
  279 UNKNOWN                  29       0.20       0.01       0.54       0.18
  280 UNKNOWN                  25       0.33       0.04       1.38       0.31
  281 UNKNOWN                  25       3.96       0.02      86.89      16.94
  282 UNKNOWN                  30       6.07       0.02      84.17      20.76
  283 UNKNOWN                  27       0.38       0.04       1.15       0.30
  284 UNKNOWN                  27       0.49       0.05       4.81       0.92
  285 UNKNOWN                  30       0.49       0.03       2.74       0.55
  286 UNKNOWN                  31       5.72       0.01      84.81      20.34
  287 UNKNOWN                  26       6.81       0.02      84.32      22.25
  288 UNKNOWN                  26       0.34       0.04       1.08       0.29
  289 UNKNOWN                  29       0.42       0.01       3.50       0.67
  290 UNKNOWN                  27       0.31       0.01       1.42       0.35
  291 UNKNOWN                  29       3.23       0.01      83.77      15.23
  292 UNKNOWN                  29       0.45       0.01       2.02       0.44
  293 UNKNOWN                  27       3.50       0.02      83.66      15.73
  294 UNKNOWN                  29       6.22       0.03      85.18      20.88
  295 UNKNOWN                  30       3.24       0.01      83.16      14.85
  296 UNKNOWN                  27       0.19       0.04       0.64       0.15
  297 UNKNOWN                  26       0.23       0.04       1.04       0.21
  298 UNKNOWN                  29       0.35       0.01       1.24       0.36
  299 UNKNOWN                  27       0.28       0.04       1.25       0.26
  300 UNKNOWN                  29       0.33       0.01       0.94       0.28
  301 UNKNOWN                  30       0.44       0.02       1.72       0.41
  302 UNKNOWN                  29      14.85       0.03      87.01      31.39
  303 UNKNOWN                  29       0.36       0.02       1.90       0.42
  304 UNKNOWN                  29       0.33       0.03       1.92       0.39
  305 UNKNOWN                  27       0.37       0.01       1.38       0.36
  306 UNKNOWN                  28       0.33       0.01       1.65       0.39
  307 UNKNOWN                  28       0.27       0.01       0.94       0.25
  308 UNKNOWN                  28       0.44       0.01       1.47       0.37
  309 UNKNOWN                  28       0.27       0.01       1.12       0.27
  310 UNKNOWN                  29       2.69       0.03      31.72       7.89
  311 UNKNOWN                  31       3.50       0.02      32.16       9.30
  312 UNKNOWN                  31       0.76       0.01       2.87       0.73
