[EVENT_TIMING] 8880 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  217 UNKNOWN                  29       4.71       4.07       5.98       0.35
  218 UNKNOWN                  29      14.12      13.61      14.44       0.18
  219 UNKNOWN                  29       9.75       9.49      10.09       0.16
  220 UNKNOWN                  29      12.26      11.26      12.92       0.42
  221 UNKNOWN                  29      15.07      14.65      15.68       0.28
  222 UNKNOWN                  29       7.98       7.51       8.41       0.25
  223 UNKNOWN                  29      16.25      15.16      17.81       0.82
  224 UNKNOWN                  29      41.08      39.40      43.03       1.04
  225 UNKNOWN                  29      23.55      21.67      25.23       1.02
  226 UNKNOWN                  29       4.75       4.20       7.67       0.72
  227 UNKNOWN                  29      14.15      13.68      14.61       0.23
  228 UNKNOWN                  29       9.77       9.50      10.14       0.17
  229 UNKNOWN                  29      12.58      11.66      13.30       0.40
  230 UNKNOWN                  29      15.08      14.56      15.49       0.24
  231 UNKNOWN                  29       7.71       7.37       8.04       0.18
  232 UNKNOWN                  29      15.86      14.80      17.40       0.67
  233 UNKNOWN                  29      41.91      39.24      43.56       1.04
  234 UNKNOWN                  29      23.09      21.78      24.49       0.83
  235 UNKNOWN                  29       4.51       4.03       5.04       0.24
  236 UNKNOWN                  29      14.00      13.56      14.52       0.25
  237 UNKNOWN                  29       9.67       9.43      10.01       0.13
  238 UNKNOWN                  29      12.49      11.75      13.32       0.38
  239 UNKNOWN                  29      15.00      14.33      15.50       0.27
  240 UNKNOWN                  29       7.52       7.11       8.06       0.26
  241 UNKNOWN                  29      15.22      14.34      16.99       0.56
  242 UNKNOWN                  29      42.07      40.51      45.58       1.36
  243 UNKNOWN                  29      23.15      21.29      24.50       1.00
  244 UNKNOWN                  29       5.92       4.17       7.12       1.03
  245 UNKNOWN                  23       0.14       0.01       0.76       0.17
  246 UNKNOWN                  28       5.18       0.01      71.11      18.26
  247 UNKNOWN                  27       5.39       0.01      72.27      18.61
  248 UNKNOWN                  23       9.28       0.01      71.39      23.70
  249 UNKNOWN                  26       0.10       0.01       0.29       0.08
  250 UNKNOWN                  26       0.10       0.01       0.57       0.12
  251 UNKNOWN                  25       2.99       0.02      71.50      13.99
  252 UNKNOWN                  24       6.03       0.02      71.99      19.63
  253 UNKNOWN                  29       0.08       0.01       0.25       0.06
  254 UNKNOWN                  26       0.14       0.01       0.60       0.13
  255 UNKNOWN                  27       0.15       0.01       0.63       0.14
  256 UNKNOWN                  20      10.89       0.03      73.01      25.59
  257 UNKNOWN                  23       3.19       0.03      70.48      14.35
  258 UNKNOWN                  26       0.09       0.01       0.25       0.07
  259 UNKNOWN                  22      12.96       0.01      72.54      27.25
  260 UNKNOWN                  23       9.22       0.01      70.08      23.45
  261 UNKNOWN                  22       0.09       0.01       0.44       0.11
  262 UNKNOWN                  22       0.11       0.01       1.07       0.22
  263 UNKNOWN                  24       6.07       0.03      71.63      19.54
  264 UNKNOWN                  24       5.99       0.01      71.80      19.56
  265 UNKNOWN                  24       0.10       0.01       0.76       0.15
  266 UNKNOWN                  24       0.13       0.01       0.55       0.13
  267 UNKNOWN                  24       3.04       0.01      70.34      14.03
  268 UNKNOWN                  25       0.10       0.01       0.43       0.11
  269 UNKNOWN                  25       0.14       0.03       0.96       0.19
  270 UNKNOWN                  22       0.12       0.01       0.40       0.10
  271 UNKNOWN                  24       3.10       0.03      71.79      14.32
  272 UNKNOWN                  21       0.17       0.01       0.70       0.19
  273 UNKNOWN                  25       0.12       0.01       0.44       0.11
  274 UNKNOWN                  26       0.14       0.01       0.68       0.16
  275 UNKNOWN                  23       0.14       0.01       0.44       0.12
  276 UNKNOWN                  26       0.11       0.01       0.31       0.09
  277 UNKNOWN                  23       0.12       0.01       0.42       0.12
  278 UNKNOWN                  24       0.09       0.01       0.28       0.06
  279 UNKNOWN                  24       5.97       0.01      70.53      19.44
  280 UNKNOWN                  26       0.08       0.01       0.36       0.08
  281 UNKNOWN                  21       0.19       0.01       1.16       0.24
  282 UNKNOWN                  29       1.44       0.01      32.57       5.89
  283 UNKNOWN                  22       1.79       0.01      33.32       6.89
